ID,user_id,item_id
12,12,"4798,10326,5303,4277,8562,2140,12857,8483,10916,8421"
14,14,"6220,13296,1290,9942,8562,4798,6971,10326,544,7120"
17,17,"1328,10326,544,4798,1290,9942,8562,11298,7120,2989"
21,21,"10326,4798,6220,544,4277,8562,2140,6971,8421,13346"
44,44,"1290,11298,7120,1244,11024,9101,4664,9962,9295,789"
55,55,"10326,8562,4798,2218,13296,3950,4277,13346,6220,10916"
56,56,"6971,2343,89,5495,12665,4798,544,9693,2218,1290"
58,58,"10326,4798,6971,8562,544,13346,4277,5303,3950,6220"
59,59,"4798,3950,10326,6220,13346,9942,4277,12857,5545,6971"
79,79,"10326,4798,6220,13346,4277,8562,2343,544,6971,3950"
81,81,"1290,7120,11298,9101,2989,544,1244,12869,4929,4576"
85,85,"4798,10326,8562,5303,6971,2140,6220,12857,8590,2218"
92,92,"1290,11298,7120,12869,11024,4576,10389,1779,9295,1244"
97,97,"3950,12665,13346,9942,4798,5495,2218,10326,6971,544"
100,100,"4798,10326,8562,13346,3950,2140,8421,10916,4277,6433"
112,112,"3950,4798,6971,6220,8562,2140,10326,12857,7707,544"
122,122,"10326,8562,3950,4798,4277,6220,217,717,10568,3428"
133,133,"2343,9693,544,9942,9532,8590,6659,8483,6220,1323"
141,141,"1290,6220,8562,13296,7120,544,10326,4798,6971,9942"
144,144,"9295,544,6954,1290,4798,10326,9942,8562,13330,11298"
149,149,"1290,7120,11298,4929,4576,1244,7679,10663,9730,9101"
153,153,"3950,4798,10326,6220,8562,2218,13346,5303,12857,4277"
166,166,"1290,6971,544,7120,9532,3464,10326,2989,4798,11298"
220,220,"4798,8562,6220,13346,9942,8413,2218,6326,12665,544"
231,231,"3950,2343,9693,9532,12665,13346,9404,8562,5199,5532"
262,262,"1290,10326,4798,6971,7120,12857,4929,5303,544,13346"
274,274,"6220,6971,544,2218,4798,1290,10326,2140,12665,3950"
277,277,"2343,544,4277,4576,12470,12665,13346,10326,6971,1290"
281,281,"1290,7120,6971,4929,9295,11298,10663,1244,544,789"
291,291,"217,3428,4798,717,8421,544,10326,9942,1290,8562"
300,300,"10326,8562,6220,4798,6971,5303,4277,9942,544,3950"
310,310,"4798,5303,10326,8562,544,2218,2140,6220,9942,4277"
332,332,"5495,12470,13306,8188,544,1290,609,10326,3565,9942"
344,344,"10326,4798,4277,8562,217,6433,12857,8421,10594,13249"
359,359,"1290,544,6220,7120,13296,2989,89,9101,11298,1244"
380,380,"5495,2343,5199,2903,544,10835,5532,9942,1290,10326"
386,386,"6220,9942,8562,3950,4798,12665,3428,4277,13346,6971"
426,426,"3950,13346,6220,8562,3055,2218,12665,544,89,1290"
436,436,"4798,10326,8562,4277,544,6971,13346,12857,2140,3950"
453,453,"6220,6971,4798,544,89,8562,2218,13346,10326,3950"
461,461,"7120,544,10326,2989,6971,1244,4929,9101,11298,9942"
464,464,"4798,2140,10326,544,1290,7138,8562,9942,13346,11298"
473,473,"5495,12665,544,8562,1290,10326,4798,9942,11298,7120"
481,481,"10326,6220,4798,217,6383,717,350,12665,8421,11969"
490,490,"4277,275,350,4798,10326,8483,544,9340,3428,10568"
494,494,"4798,8562,6220,10326,6971,5303,3950,12665,9942,13346"
497,497,"1290,2989,7120,12869,7679,9730,11298,7669,544,12655"
510,510,"2343,544,3950,6220,9942,13346,3428,12665,8562,4798"
511,511,"10326,4798,6220,8562,8421,12857,4277,2140,544,5303"
512,512,"1290,2343,9693,544,7120,1244,4576,5532,11298,2989"
524,524,"1290,7120,12869,11298,1244,9962,789,9295,4929,4664"
525,525,"10326,4798,544,4277,5303,3950,6971,2218,8562,12665"
545,545,"10326,4798,8421,8562,10594,544,1290,217,12857,9942"
560,560,"8562,10326,3950,6220,4798,13346,544,3428,6433,217"
564,564,"2343,9693,6795,10326,275,544,8562,3055,6834,2537"
566,566,"2343,13346,9942,4798,3950,8562,12665,3416,5303,6220"
568,568,"6220,217,10326,4277,3428,4798,2343,544,5495,8562"
570,570,"8562,6220,7707,544,2218,13296,8681,10326,4798,1290"
573,573,"4798,10326,4277,3950,13346,8562,6220,217,544,6433"
594,594,"8562,6220,3950,10326,4798,13346,5303,4277,12665,2140"
601,601,"10326,4798,2218,5303,6220,8562,3950,1290,12665,544"
605,605,"3950,5495,2905,4798,10326,544,1290,9942,12611,8562"
641,641,"6220,4798,3950,9942,10326,2343,13346,3428,5495,544"
650,650,"9942,6220,3950,2218,217,3428,8562,5303,5545,544"
675,675,"6220,9942,6971,8562,12665,3950,4798,7707,5545,3870"
677,677,"1290,7120,4929,10663,9962,789,1244,2916,544,3697"
679,679,"10326,544,6971,6220,9942,4798,8562,5303,4277,2218"
683,683,"3950,13346,8562,4798,5610,544,1290,10326,9245,9942"
687,687,"10326,4798,544,8562,6220,13346,1290,12665,5303,3950"
705,705,"4798,275,5303,544,10326,4277,12404,1290,9942,8562"
708,708,"1290,7120,544,11298,1244,9101,11024,6971,4576,2989"
712,712,"6220,9942,8562,3950,5495,12665,13346,13306,2218,10326"
715,715,"4798,2140,5303,6971,10326,13346,8562,3950,544,1290"
728,728,"1290,7120,11298,1244,9101,4576,2989,9962,544,789"
743,743,"2343,12665,2218,544,10326,9693,3950,5532,6971,2903"
753,753,"6220,544,7707,8562,9942,5495,2989,3950,10326,1290"
757,757,"4798,10326,5303,6971,9942,13346,6220,3950,8421,2218"
768,768,"5495,3950,8413,2218,10326,8562,13346,12470,5303,6220"
797,797,"2343,5532,6795,544,10835,9532,6220,10326,1290,2537"
813,813,"12665,1290,6220,544,6971,11298,10326,9942,7120,4798"
832,832,"1290,7120,11298,4929,6971,10663,9101,1244,2989,12869"
833,833,"10326,4798,6220,9942,8562,5303,3950,13346,544,2140"
844,844,"2343,12665,13346,6220,9942,6971,10326,5545,4798,544"
858,858,"10326,4277,544,3950,6220,8562,50,1290,4798,8590"
874,874,"11298,12869,4576,11024,6220,1290,9730,544,7120,12665"
875,875,"10326,12470,8562,5303,4798,4277,544,6220,13346,13296"
892,892,"4798,6220,8562,5303,2140,10326,7707,544,1290,9942"
897,897,"3950,3428,13346,6220,9942,12665,544,8562,1290,4798"
912,912,"1290,7120,4798,8590,6971,10326,4929,9295,544,5303"
924,924,"6220,13346,8562,9942,5545,4798,7707,5485,12665,544"
926,926,"1290,6220,544,13296,5545,9942,12665,8562,10326,7707"
933,933,"5303,4277,10326,6220,544,2140,5495,8562,9942,2218"
944,944,"8562,6220,9942,3950,2343,5545,89,13346,13296,3428"
951,951,"5495,4798,2218,6971,6220,5303,8562,10326,8590,544"
974,974,"8562,6220,544,9942,4798,3950,13346,13296,3428,5545"
1010,1010,"544,4798,1290,10326,9942,8562,9306,11298,7120,2989"
1013,1013,"6971,12665,89,1290,544,4798,8562,3950,10326,9942"
1016,1016,"1290,4798,8562,6220,7120,2218,9942,6971,8590,5303"
1023,1023,"1290,7120,6220,6971,1244,89,11024,11298,12665,13296"
1035,1035,"544,12665,1290,6971,10326,5303,4277,6220,2218,217"
