ID,user_id,item_id
12,12,"4798,10326,5303,8562,4277,12857,8483,10916,2140,544"
14,14,"6220,9942,4798,8562,544,9101,10326,1290,5495,12665"
17,17,"1328,10326,544,4798,9101,9942,5495,6659,12665,8562"
21,21,"10326,4798,544,6220,8562,4277,6971,13346,9942,10916"
44,44,"11298,1290,1244,7120,9101,9295,2989,544,12869,9730"
55,55,"10326,8562,4798,2218,10916,13346,10594,3950,4277,6326"
56,56,"6971,5495,12665,89,4798,2343,9693,544,9101,10326"
58,58,"4798,10326,8562,544,6971,13346,5303,4277,6433,275"
59,59,"4798,10326,3950,6220,13346,9942,12857,4277,6433,275"
79,79,"10326,4798,13346,6220,8562,544,4277,5495,2343,3428"
81,81,"1290,7120,9101,11298,2989,544,1244,12869,9295,4929"
85,85,"4798,10326,8562,5303,5495,12857,544,275,6971,9942"
92,92,"1290,11298,7120,12869,9101,1244,2989,9295,1779,544"
97,97,"3950,12665,9942,4798,13346,5495,10326,544,9101,2218"
100,100,"4798,10326,8562,13346,10916,3950,8421,6433,12857,2140"
112,112,"4798,3950,6971,6220,8562,12857,10326,544,5495,12665"
122,122,"10326,8562,4798,3950,217,4277,6220,8483,717,10568"
133,133,"9693,2343,8483,544,9942,6659,9532,12665,1323,4798"
141,141,"1290,6220,8562,544,9101,4798,7120,10326,9942,5495"
144,144,"9295,9101,544,4798,10326,9942,5495,12665,8562,9730"
149,149,"1290,7120,11298,9101,7679,1244,4929,9730,544,7669"
153,153,"4798,10326,3950,8562,6220,12857,5303,13346,2218,6326"
166,166,"1290,544,6971,9101,4798,10326,12665,2989,9942,7120"
220,220,"4798,8562,6220,13346,8413,9942,12665,544,5676,6326"
231,231,"9693,3950,2343,12665,9404,8562,13346,5495,9532,5199"
262,262,"10326,1290,4798,7120,6971,12857,5303,544,1244,13346"
274,274,"544,6220,4798,6971,10326,2218,12665,1290,3950,89"
277,277,"544,2343,12470,12665,4277,10326,5495,13346,89,11298"
281,281,"1290,7120,11298,9295,6971,9101,4929,544,1244,4798"
291,291,"217,3428,4798,717,8421,544,9942,9101,10326,5495"
300,300,"10326,8562,4798,6220,5303,6971,9942,544,275,4277"
310,310,"4798,5303,10326,8562,544,5495,9942,2218,10916,9101"
332,332,"5495,12470,13306,544,9101,4798,609,8188,9942,10326"
344,344,"10326,4798,8562,4277,217,6433,12857,10594,10916,13249"
359,359,"544,1290,7120,6220,9101,2989,89,11298,1244,9942"
380,380,"5495,5199,544,9693,9101,9942,4798,2903,10326,12665"
386,386,"9942,8562,6220,12665,4798,3950,3428,13346,4277,6971"
426,426,"3950,13346,12665,8562,6220,5495,544,4798,9101,9942"
436,436,"4798,10326,8562,4277,544,12857,13346,6971,6433,3950"
453,453,"4798,6220,544,6971,89,8562,10326,13346,9942,3950"
461,461,"7120,544,9101,10326,2989,1244,11298,9942,6971,4798"
464,464,"4798,10326,2140,544,9101,9942,5495,12665,8562,11298"
473,473,"5495,12665,544,9101,4798,8562,10326,9942,11298,2989"
481,481,"10326,4798,6220,217,6383,717,12665,9101,350,13346"
490,490,"275,4277,4798,8483,10326,350,544,10568,3428,9340"
494,494,"4798,8562,10326,6220,5303,6971,12665,3950,9942,8413"
497,497,"2989,1290,7120,12869,9730,7679,11298,544,9101,7669"
510,510,"2343,544,9942,3950,6220,13346,12665,4798,3428,8562"
511,511,"10326,4798,8562,6220,12857,8421,717,544,5303,9101"
512,512,"9693,1290,544,2343,1244,7120,9101,11298,2989,5532"
524,524,"1290,7120,12869,1244,11298,544,9101,9295,9962,9730"
525,525,"10326,4798,544,5303,4277,3950,12665,8562,6971,9942"
545,545,"10326,4798,8421,10594,8562,544,9101,12857,9942,217"
560,560,"10326,8562,4798,3950,13346,6220,544,3428,6433,217"
564,564,"9693,2343,6795,275,10326,544,8562,9101,9942,4798"
