ID,user_id,item_id
12,12,"4277,5303,10326,4798,2140,8562,12857,8421,6971,10916"
14,14,"6220,13296,6971,1290,9942,8562,8590,10326,7120,544"
17,17,"1328,10326,1290,544,7120,6220,1221,4798,7480,9942"
21,21,"10326,4798,6220,2140,4277,544,8421,6971,8562,3950"
44,44,"1290,11298,7120,1244,11024,789,9962,10607,5135,4664"
55,55,"10326,8562,4798,2218,13296,4277,6220,3950,13346,10916"
56,56,"6971,2343,89,5495,12665,2218,8922,6220,4798,7983"
58,58,"10326,4798,6971,8562,4277,5303,544,13296,2140,6220"
59,59,"4798,6220,3950,10326,13346,4277,5545,7707,2140,9942"
79,79,"6220,10326,4277,13346,4798,6971,2343,7707,8562,2140"
81,81,"1290,7120,11298,2989,9101,4929,4576,544,12869,1244"
85,85,"4798,2140,10326,8562,8590,6971,5303,6220,2218,12857"
92,92,"1290,11298,7120,11024,12869,4576,1779,10607,10389,4664"
97,97,"3950,12665,13346,9942,2218,4798,3055,6971,5495,6220"
100,100,"4798,10326,2140,8562,13346,8421,3950,4277,10916,8161"
112,112,"3950,6971,4798,6220,2140,7707,8562,12857,10326,5303"
122,122,"10326,4277,3950,8562,6220,4798,217,13296,2140,717"
133,133,"2343,9693,8590,544,9532,9942,6220,6659,8483,1323"
141,141,"1290,6220,13296,7120,8562,6971,1863,544,10326,9942"
144,144,"9295,6954,13330,1290,12449,544,10326,7188,816,7120"
149,149,"1290,7120,4929,4576,11298,10663,2916,10674,7679,1244"
153,153,"6220,3950,10326,2218,4798,8562,5303,13296,13346,8421"
166,166,"6971,1290,7120,9532,544,3464,5001,6220,10326,8235"
220,220,"6220,8562,4798,13346,2218,9942,5545,13296,7707,6326"
231,231,"3950,2343,9693,9532,5199,5532,12665,13346,8562,6220"
262,262,"1290,6971,10326,7120,4798,4929,5303,12857,2140,8590"
274,274,"6220,6971,2218,544,2140,1290,4798,10326,3950,12665"
277,277,"2343,4576,544,4277,5545,6971,12665,13346,12470,10326"
281,281,"1290,7120,4929,6971,10663,789,9295,5135,9962,11298"
291,291,"217,3428,8421,717,4798,5303,2140,10326,1290,544"
300,300,"6220,10326,8562,6971,4798,5303,4277,2140,13296,9942"
310,310,"4798,5303,10326,2140,2218,8562,544,6220,8421,4277"
332,332,"5495,12470,13306,8188,3565,5155,609,1290,544,10326"
344,344,"10326,4277,4798,8562,8421,217,6433,12857,13249,10594"
359,359,"1290,6220,7120,544,13296,4576,89,2218,2989,9962"
380,380,"5495,10835,5199,2343,2903,5532,3950,1290,544,9942"
386,386,"6220,9942,3950,8562,4277,12665,13296,6971,3428,4798"
426,426,"3950,13346,6220,3055,2218,8562,12665,5303,5199,5545"
436,436,"10326,4798,4277,8562,2140,6971,8421,544,12857,13346"
453,453,"6220,6971,2218,5545,4798,89,544,8562,3950,10326"
461,461,"7120,544,4929,6971,10663,10326,789,2989,9962,1244"
464,464,"2140,4798,10326,7138,1290,544,7120,4277,9306,6220"
473,473,"5495,12665,1290,544,8562,10326,7120,6220,9942,8224"
481,481,"10326,6220,4798,217,8421,11969,350,6383,717,12665"
490,490,"4277,350,275,10326,4798,6220,9340,544,8483,3428"
494,494,"6220,8562,4798,6971,10326,5303,3950,7707,12665,2218"
497,497,"1290,7120,2989,12869,7679,9730,11298,4576,2957,11024"
