ID,user_id,item_id
12,12,"5303,4277,10326,4798,2140,8562,12857,8421,10916,6971"
14,14,"6220,13296,6971,1290,9942,8590,8562,10326,7120,7637"
17,17,"1328,10326,1221,7480,1290,544,4072,1261,8093,7120"
21,21,"10326,4798,6220,2140,4277,8421,6971,544,8562,3950"
44,44,"1290,11298,7120,1244,11024,789,9962,10607,5135,4664"
55,55,"10326,8562,4798,2218,13296,4277,6220,3950,10916,13346"
56,56,"6971,2343,89,8922,5495,12665,2218,7983,5532,6220"
58,58,"10326,4798,6971,8562,4277,5303,13296,2140,544,13346"
59,59,"4798,6220,3950,10326,13346,4277,5545,7707,2140,8421"
79,79,"6220,10326,4277,13346,4798,7707,6971,2343,2140,8562"
81,81,"1290,7120,11298,4929,2989,9101,4576,12869,544,1244"
85,85,"2140,4798,10326,8590,8562,6971,5303,6220,2218,12857"
92,92,"1290,11298,7120,11024,12869,4576,1779,10607,10389,4664"
97,97,"3950,12665,13346,9942,2218,4798,3055,6971,4602,5495"
100,100,"4798,2140,10326,13346,8562,8421,3950,10916,4277,8161"
112,112,"3950,6971,4798,6220,2140,7707,8562,12857,9733,5303"
122,122,"4277,3950,10326,8562,6220,4798,217,13296,2140,717"
133,133,"2343,9693,8590,9532,544,9942,6220,6659,8483,1323"
141,141,"1290,6220,13296,7120,8562,1863,6971,5149,8703,544"
144,144,"9295,6954,13330,12449,7188,816,1166,1290,544,5238"
149,149,"1290,7120,4929,4576,10663,11298,10674,2916,7679,4163"
153,153,"3950,6220,10326,2218,4798,8562,5303,13296,8421,2140"
166,166,"6971,1290,7120,5001,9532,8235,9375,3464,544,7983"
220,220,"6220,8562,4798,13346,2218,5545,9942,13296,7707,6326"
231,231,"3950,2343,9693,9532,5199,5532,12665,13346,9404,3507"
262,262,"1290,6971,10326,7120,4798,4929,12857,5303,2140,10663"
274,274,"6220,6971,2218,2140,544,1290,4798,10326,3950,12665"
277,277,"2343,4576,4277,544,5545,6971,12665,12470,13346,1978"
281,281,"1290,7120,4929,6971,10663,789,5135,9295,9962,11298"
291,291,"217,3428,8421,717,4798,5303,7802,2140,11384,8792"
300,300,"6220,10326,8562,6971,5303,4798,4277,2140,13296,3950"
310,310,"5303,4798,2140,10326,2218,8562,544,6220,8421,11384"
332,332,"5495,12470,13306,5155,609,3565,8188,1642,10236,3545"
344,344,"10326,4277,4798,8562,8421,217,6433,12857,10594,13249"
359,359,"6220,1290,7120,544,13296,4576,89,2218,9962,2989"
380,380,"5495,10835,5199,2343,2903,5532,4117,3950,1290,544"
386,386,"6220,9942,3950,8562,4277,13296,12665,6971,3428,4798"
426,426,"3950,13346,6220,3055,2218,8562,12665,5199,8235,5524"
436,436,"10326,4798,4277,8562,2140,6971,8421,12857,13346,544"
453,453,"6220,6971,2218,5545,89,4798,544,8562,3950,13346"
461,461,"7120,544,4929,6971,10663,789,10326,9962,2989,1244"
464,464,"2140,4798,10326,7138,9306,2291,1290,544,8161,6588"
473,473,"5495,12665,8224,6378,896,1290,544,8562,11019,10326"
481,481,"10326,6220,4798,217,8421,350,11969,6383,717,12665"
490,490,"4277,350,275,10326,9340,4798,6220,7138,8483,3428"
494,494,"6220,8562,4798,6971,10326,5303,3950,7707,12665,2218"
497,497,"1290,2989,7120,12869,7679,9730,11298,2957,4576,7669"
510,510,"2343,3950,6220,544,9942,13346,5532,3428,12665,10835"
511,511,"10326,4798,6220,8421,8562,2140,12857,4277,5303,2218"
512,512,"1290,2343,9693,544,7120,4576,1244,5532,10663,11024"
524,524,"1290,7120,789,9962,5135,12869,4929,4664,2916,1244"
525,525,"10326,4798,544,4277,5303,6971,3950,2218,2140,1978"
545,545,"8421,10326,4798,10594,8161,8562,7833,12856,13123,1912"
560,560,"8562,10326,3950,6220,4798,13346,8421,544,3428,6433"
564,564,"2343,9693,6795,3055,6834,275,10835,2537,10326,4277"
566,566,"2343,13346,3416,3950,5303,9942,6220,1978,6971,11540"
568,568,"6220,4277,217,10326,2343,3428,8421,4798,2218,5495"
570,570,"8562,7707,6220,13296,2218,8681,12606,10429,544,5545"
573,573,"4277,3950,10326,13346,4798,2140,6220,8562,5303,217"
